nom,"nom de la râgion de patrimoine canadien, anglais","nom de la râgion de patrimoine canadien, franàais","nom de la province, anglais","nom de la province, franàais","nom de la râgion âconomique, anglais","nom de la râgion âconomique, franàais",latitude,longitude
name,"Canadian Heritage region name, english","Canadian Heritage region name, french","province name, english","province name, french","economic region name, english","economic region name, french",latitude,longitude
Lou MacNarin School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Moncton - Richibucto,Moncton - Richibucto,46.09638,-64.739472
Magnetic Hill School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Moncton - Richibucto,Moncton - Richibucto,46.338575,-65.048032
Marshview Middle School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Moncton - Richibucto,Moncton - Richibucto,45.891215,-64.370911
Moncton High School ,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Moncton - Richibucto,Moncton - Richibucto,46.095424,-64.780005
Northrop Frye School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Moncton - Richibucto,Moncton - Richibucto,46.123684,-64.884643
Petitcodiac Regional School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Moncton - Richibucto,Moncton - Richibucto,45.927075,-65.172589
Port Elgin Regional School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Moncton - Richibucto,Moncton - Richibucto,46.045793,-64.091211
Queen Elizabeth School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Moncton - Richibucto,Moncton - Richibucto,46.100581,-64.803624
Riverview East School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Moncton - Richibucto,Moncton - Richibucto,38.74715,-90.20061
Riverview High School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Moncton - Richibucto,Moncton - Richibucto,46.050644,-64.811651
Riverview Middle School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Moncton - Richibucto,Moncton - Richibucto,46.062894,-64.79629
Salem Elementary School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Moncton - Richibucto,Moncton - Richibucto,45.889771,-64.378795
Salisbury Elementary School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Moncton - Richibucto,Moncton - Richibucto,46.026355,-65.039975
Shediac Cape School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Moncton - Richibucto,Moncton - Richibucto,46.263815,-64.579672
Sunny Brae Middle School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Moncton - Richibucto,Moncton - Richibucto,46.106501,-64.777042
Tantramar Regional High School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Moncton - Richibucto,Moncton - Richibucto,45.910202,-64.372897
West Riverview School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Moncton - Richibucto,Moncton - Richibucto,46.062303,-64.810853
Bonar Law Memorial School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Moncton - Richibucto,Moncton - Richibucto,46.640029,-64.857606
Eleanor W. Graham Middle School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Moncton - Richibucto,Moncton - Richibucto,46.636736,-64.867287
Rexton Elementary School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Moncton - Richibucto,Moncton - Richibucto,46.640442,-64.87035
Barnhill Memorial School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Saint John - St. Stephen,Saint John - St. Stephen,45.254247,-66.10282
Bayside Middle School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Saint John - St. Stephen,Saint John - St. Stephen,45.284259,-66.040394
Beaconsfield Middle School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Saint John - St. Stephen,Saint John - St. Stephen,45.251004,-66.079104
Belleisle Regional High School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Saint John - St. Stephen,Saint John - St. Stephen,45.700427,-65.822696
Fairvale Elementary School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Saint John - St. Stephen,Saint John - St. Stephen,45.405966,-65.98454
Forest Hills School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Saint John - St. Stephen,Saint John - St. Stephen,45.312522,-66.007263
Fundy High School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Saint John - St. Stephen,Saint John - St. Stephen,45.125961,-66.810351
Hampton Elementary School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Saint John - St. Stephen,Saint John - St. Stephen,45.518503,-65.839892
Hampton High School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Saint John - St. Stephen,Saint John - St. Stephen,45.516122,-65.837402
Hampton Middle School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Saint John - St. Stephen,Saint John - St. Stephen,45.538208,-65.826849
Harbour View High School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Saint John - St. Stephen,Saint John - St. Stephen,45.267081,-66.083015
Harry Miller Middle School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Saint John - St. Stephen,Saint John - St. Stephen,45.402784,-65.973454
Havelock School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Saint John - St. Stephen,Saint John - St. Stephen,45.250894,-66.080402
Kennebecasis Valley High School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Saint John - St. Stephen,Saint John - St. Stephen,45.396657,-66.007768
Lakefield Elementary School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Saint John - St. Stephen,Saint John - St. Stephen,45.416983,-65.97193
Loch Lomond School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Saint John - St. Stephen,Saint John - St. Stephen,45.334123,-65.899986
Macdonald Consolidated School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Saint John - St. Stephen,Saint John - St. Stephen,45.482329,-66.020515
Millidgeville North School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Saint John - St. Stephen,Saint John - St. Stephen,45.293694,-66.113308
Princess Elizabeth School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Saint John - St. Stephen,Saint John - St. Stephen,45.282879,-66.069943
Quispamsis Elementary School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Saint John - St. Stephen,Saint John - St. Stephen,45.413115,-65.957985
Quispamsis Middle School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Saint John - St. Stephen,Saint John - St. Stephen,45.423661,-65.968487
River Valley Middle School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Saint John - St. Stephen,Saint John - St. Stephen,45.319765,-66.199425
Rothesay Elementary School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Saint John - St. Stephen,Saint John - St. Stephen,45.387809,-65.980126
Rothesay High School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Saint John - St. Stephen,Saint John - St. Stephen,45.402784,-65.973454
Rothesay Park School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Saint John - St. Stephen,Saint John - St. Stephen,45.387974,-65.995627
Saint John High School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Saint John - St. Stephen,Saint John - St. Stephen,45.269432,-66.061149
Simonds High School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Saint John - St. Stephen,Saint John - St. Stephen,45.300829,-65.994985
St. George Elementary School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Saint John - St. Stephen,Saint John - St. Stephen,45.05511,-66.788436
St. Malachy's Memorial High School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Saint John - St. Stephen,Saint John - St. Stephen,45.273258,-66.056187
St. Stephen Elementary School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Saint John - St. Stephen,Saint John - St. Stephen,45.200334,-67.272425
St. Stephen High School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Saint John - St. Stephen,Saint John - St. Stephen,45.23625,-67.301342
St. Stephen Middle School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Saint John - St. Stephen,Saint John - St. Stephen,45.196463,-67.278987
Sussex Corner Elementary School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Saint John - St. Stephen,Saint John - St. Stephen,45.70367,-65.475173
Sussex Elementary School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Saint John - St. Stephen,Saint John - St. Stephen,45.724931,-65.518898
Sussex Middle School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Saint John - St. Stephen,Saint John - St. Stephen,45.72231,-65.485346
Sussex Regional High School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Saint John - St. Stephen,Saint John - St. Stephen,45.719455,-65.473864
Westfield School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Saint John - St. Stephen,Saint John - St. Stephen,45.344214,-66.224519
